B02,B03,B04,B05,B06,B07.,B08,B8A,B11,B12,SCL,NDVI,x,y,target
222,337,188,500,1773,2197,2596,2286,1109,504,4,0,526138.426,6808530.11,"573,4056774"
219,333,175,490,1798,2235,2498,2344,1015,444,4,0,515124.924,6820729.451,"598,0184006"
201,360,173,602,2322,3013,3124,3241,1298,540,4,0,532376.419,6816827.591,"396,7916962"
230,504,223,826,2891,3557,3692,3807,1524,678,4,0,532434.26,6818051.693,"11,87386962"
215,395,183,649,2242,2609,2830,2852,1278,582,4,0,521484.778,6820896.407,"313,4387041"
225,398,195,663,2270,2780,3398,3154,1253,534,4,0,530593.649,6806158.99,"269,7177007"
182,328,158,567,2538,3262,3404,3529,1403,571,4,0,534287.688,6813304.336,"393,0958559"
208,374,212,623,2199,2687,2746,2896,1313,579,4,0,526283.245,6809839.547,"431,8235433"
200,293,174,606,2170,2680,2428,2854,1350,636,4,0,530134.279,6806928.575,"140,4812456"
186,314,152,545,2014,2498,2664,2809,1041,423,4,0,530389.558,6816938.422,"290,0055044"
169,291,134,524,2067,2627,2478,2804,1093,448,4,0,519660.323,6820537.126,"262,4046552"
190,280,157,465,1788,2118,2194,2386,980,436,4,0,523208.915,6809001.9,"1024,691358"
212,379,169,605,2630,3386,3526,3560,1341,542,4,0,523515.664,6820995.027,"164,7401117"
252,456,351,876,2209,2698,2178,2960,1664,890,4,0,523838.591,6809783.737,"313,2027994"
234,346,198,533,1771,2170,2216,2343,1111,507,4,0,517145.787,6820065.894,"559,8018401"
200,425,196,635,2101,2426,2522,2619,1193,554,4,0,516345.288,6820938.057,"455,5319651"
227,354,184,531,2032,2460,2784,2666,1152,504,4,0,533161.75,6813030.802,"394,0394747"
173,262,149,449,1462,1839,1936,2047,902,406,4,0,526622.22,6805931.606,"298,9698828"
213,365,172,604,2485,3172,3370,3398,1466,627,4,0,532991.342,6814084.955,"245,0656601"
238,424,192,636,2730,3363,3792,3593,1486,619,4,0,523659.698,6816876.695,"570,9679956"
220,389,165,660,2226,2887,3140,3070,1146,474,4,0,528306.952,6820942.767,"132,7357081"
